category,content
4,为贯彻落实全国人大常委会国务院关于实施渐进式延迟法定退休年龄有关规定满足大中型客货车驾驶人的驾驶出行需求更好地适应经济社会发展和人民群众的实际需求近日公安部发布了新修订的机动车驾驶证申领和使用规定此次修订重点调整延长大中型客货车驾驶证的申请年龄和准驾年龄积极保障群众就业权益修订后 周岁年机动车新规明年实施这些车型驾驶证申请准驾年龄延长
4,撕掉几张纸要赔元连走廊地砖也要索赔学生退费遭提灯定损 孩子拔一条网线要收块钱撕掉广告墙上的几张纸要收元甚至孩子学习期间走过的走廊地砖也纳入待查范畴来自重庆的但女士日前向红星新闻倾诉她在广州某培训机构给孩子办理退学过程中遭遇提灯定损的烦心事但女士说培训机构一开始答应退还孩子的部分学费和生活费但后来反悔说孩子损毁
4,员工申请到政府的人才租房补贴公司却要求员工将三分之二的补贴金额捐献出来近日上海市浦东新区人民法院披露了这起案件详情一审判决公司返还员工人才租房补贴万元双方当事人均未上诉判决已生效李先生是上海某公司员工年月他按照公司指示在政府服务平台上申请了人才租房补贴公司领导告诉他 上海一公司要求员工将政府人才租房补贴上交三分之二还称是惯例
4,月日将开售春运第一天火车票铁路春运购票日历来了 来源中国铁路年春运将于月日正式启动按照目前火车票提前天开始发售的规则年月日将开售春运第一天火车票快定好闹钟准时锁定
4,公司团建要求员工吞火当事人要不是工作不好找我立刻就离职 月日有辽宁网友蓉蓉化名在社交平台发布了自己在入职新公司的遭遇公司从外面找了人来做团建要用棉签点燃之后放嘴里还有钉子什么的我该去哪里举报该网友的文章受到了网友的广泛关注网友们留下了近条评论有人调侃请问是杂技公司吗也有人称这不就是服从性测试吗直接走人吧还有网友
4,教师称因被学生家长擅充元话费感到困扰客服协商后可原路退回 近日一教师发帖称自己又被学生家长自作主张充了元大额话费难以退回很是困扰其在帖子里表示被充巨额话费的事情已经是第三次发生了难道只能自掏腰包充回去吗我都当面拒绝过了还是要自作主张给我添麻烦我一个月租块的这元话费得用到什么时候引发网友热议聊天记录截图图小
4,她养猪成为当年重庆红红火火的劳动模范但自从猪场被毁后拿起法律武器走上维权之路如今疲惫不堪从上海回乡当猪大王被授予重庆市劳动模范称号她叫覃继英今年岁重庆市大足区人她对华商报大风新闻记者回忆称上世纪年代初她到成都打工后来结婚生子当女儿岁时她带着她来到上海一家公司从事与养猪有 女子回乡当猪大王成劳模创业年养猪场遭强拆自称损失超万
4,大象新闻记者韩静雯月日打拐志愿者上官正义在社交平台公开发文举报安徽合肥肥东县存在非法代孕活动地下代孕机构勾结医护和公职人员进行取卵胚胎培育并贩卖出生证明举报中提到该组织老板张某称此前合作的生产医院为亳州市利辛县宝璋医院月日该事件迎来新进展大象新闻从上官正义处了解到目前亳 安徽肥东非法代孕事件迎来新进展亳州三名公职人员被立案
4,华北某县的精神科每个月有二三十位中学生就诊大多是因为厌学而那些仍在校的学生点左右起床每天在校超小时两三周甚至一个月才放一天假有人因学习压力经常崩溃大哭家长和老师也在这漫长的学习赛里出现了不同程度的情绪问题但在现实面前谁也没法停下来
1,也门叛军声称对特拉维夫机场发射了导弹
2,英国金融时报综合来自瑞银汇丰晨星和伍德麦肯兹机构的最新报告明年中国电动汽车的销量预计有望首次超过燃油汽车预计到到年中国的电动汽车销量含纯电和插混预计将同比增长约突破万辆较年的万辆翻一番同时传统燃油车销量将下滑超过至不到万辆
5,有不少经典中文歌的歌词其实挺不错但因为传唱度太高过于口水而被忽略前面开车和集美一起唱随机到的听海唱到那句灰色是不想说蓝色是忧郁惊觉无比诗意
2,彭博社专栏作者今天这篇文章写到美元对于华盛顿的战略价值我读完很有感触文章也证伪了一段时期以来的某某货币要取代美元的一种观点其实政府与企业之间存在着一种循环就是如果政府支持企业创新发展别动不动就限制他野蛮发展那么企业就会为你带来巨大的战略价值你在经贸上在外交上手里就会有更多的筹码谈判时不会处于下风特朗普威胁对外国施加关税他的底气来自哪里就是来自美国企业的强大企业的强大是创新这个源头带来的创新需要透明的监管然后企业才会制造出被老老少少所需要的产品产品被全球需要为企业带来了利润利润创造更多的就业就业是工人收入的保障收入有了保障就会有更多的消费不然美国的消费怎么占到的消费力成就了美国成为世界上最大的贸易逆差国那就意味着你们都需要我这个市场来消费我就是你们的需求侧你供给侧再牛逼没有了需求侧那又怎么样结果就只能是产能过剩所以对于特朗普就因此有了战略价值这一整个完全就是一个正反馈循环美元就会越发的强势 彭博社专栏作者今天这篇文章写到美元对于华盛顿的战略价值我读完很有感触文章也证伪了一段时期以来的某某货币要取代美元的一种观点其实政府与企业之间存在着一种循环就是如果政府支持企业创新发展别动不动就限制他野蛮发展那么企业就会为你带来巨大的战略价值你在经贸上在外交上手里就会有更多的筹码谈判时不会处于下风特朗普威胁对外国施加关税他的底气来自哪里就是来自美国企业的强
1,最新消息乌克兰泽林斯基援助叙利亚泽林斯基说吨乌克兰小麦粉已经运往叙利亚计划在未来几周内将这批小麦分发给个家庭或人每包小麦重公斤可供一个五口之家食用一个月我们祝愿叙利亚及其人民安全稳定复兴我们知道这些事情的真正价值
4,以后工地打工仔也更要卷了
5,鱿鱼游戏月日在上线鱿鱼游戏相关韩股下跌韩国电影发行和营销公司主演李政宰为该公司最大股东触及跌停的另一家投资者跌的韩国合作伙伴跌鱿鱼游戏烂番茄指数为第一季为不少影评认为第二季不及预期
1,韩国在野党控制的国会投票决定弹劾现任代理领导人韩德洙
5,发了巴西报道的罗列信息而已转发键给我没收了还屏蔽了内容现在真是肆无忌惮
2,果然读书还是跟搞钱结合在一起大家更感兴趣一周后已经演化出投资主题阅读专题群感兴趣的扫码加入关于投资自己是真不懂群管理让一年读了多本投资理财相关书籍的朋友操作也有很多实战经验比如自己十多年前开始投资比特币也是这个朋友的建议但赚的不算多认知不够又喜欢读书又对投资感兴趣的朋友扫码加入人上限满的话加我微信
4,网传消息年月日共匪国福建省莆田市仙游县一医院一个等待被活摘器官的供体被于心不忍的护工给透露了消息身上的麻药效果可能还没全退从窗户爬到外面喊救命吸引了一大堆好奇群众在围观
2,投资主题阅读群接龙书单推荐一本你认为非常后悔没有早看到的投资类书籍中国经济增长的真实逻辑韦森金钱心理学股票深度交易心理学通过正念练习和尖端心理学实现最佳交易表现盖瑞戴顿纳瓦尔宝典史丹温斯坦称傲牛熊市的秘密股票大作手回忆录埃德温乐菲弗段永平投资实录定投改变命运李笑来祖鲁法则你的推荐是什么 投资主题阅读群接龙书单推荐一本你认为非常后悔没有早看到的投资类书籍中国经济增长的真实逻辑韦森金钱心理学股票深度交易心理学通过正念练习和尖端心理学实现最佳交易表现
1,突发韩国议会投票弹劾了代理总统
1,韩国国会投票决定弹劾代理总统韩德洙财政部长崔兌熙接任代理总统职务
5,做好预期
4,年到年中国月日平安夜的票房收入从最高点个多亿跌到千多万没有其他原因就是因为没钱不用分析
5,这是最近开始的一个全新项目有人说是时政版锵锵三人行这个类比可能不错是我和伍雷律师与贾葭记者一起合作的媒体项目大家可以多提意见刚开始做逐渐优化
1,韩国执政党国会议员在议会内抗议随着弹劾投票的开始
5,近期一直在听一个很有水平博主的节目推荐给大家他们最近还开通了一个很有趣的频道三个水枪手有大家熟悉的贾葭贾老师这样的节目真正发挥出了贾老师的水平世界苦茶
1,看来硅谷右派是了川普还没登基已经出现内部叛徒了
5,美国纽约爱党爱的难舍难分的脑残剧下面看的人还不少何必呢演的和看的都一起回去吧
5,朝代可以更新但人民不会消失
5,转一条腿走路
2,本周五我在上还有很多期权仓位主要都是卖出具体仓位群里发了明天选一些出来给大家看看从我的利益角度出发特斯拉周五大跌或者大涨都不行最好就是横盘横在上面另外根据上周五的经验我需要在最后半小时之前平仓免得最后分钟被搞突然偷袭掉这可能也是末日期权能突然赚钱的机制但我是他的对手盘谢谢大家
2,你永远可以相信美股大科技股为什么说你生活在一个美元宇宙中
4,和马斯克之间终于出现冲突关于移民问题埃隆马斯克与部分运动支持者之间的分歧在最近的讨论中开始变得明显马斯克对移民问题发表过很多看法他主张为有才华勤奋和诚实的个人尤其是科技和工程领域的人加快合法移民程序他批评美国现有的移民制度是一个噩梦般的混乱无论是合法还是非法途径马斯克强调高技能移民对于保持美国竞争优势的重要性将其比作招募顶级运动员这一立 和马斯克之间终于出现冲突关于移民问题埃隆马斯克与部分运动支持者之间的分歧在最近的讨论中开始变得明显马斯克对移民问题发表过很多看法他主张为有才华勤奋和诚实的个人尤其是科技和工程领域的人加快合法移民程序他批评美国现有的移民制度是一个噩梦般的混乱无论是合法还是非法途径马斯克强调高技能移民对于保持美国竞争优势的重要性将其比作招募顶级运动员这一立场在支持者中并非得到一致欢迎基础中有相当一部分人优先考虑严格的移民控制往往反对高水平的移民无论是合法还是非法移民理由是担心文化变化工作竞争和国家安全问题马斯克倡导增加高技能移民的政策导致了与一些支持者的公开争论特别是在平台上他因推动这种政策而遭到像劳拉卢默这样的人物的批评认为这与他们的美国优先议程相冲突马斯克关于移民的言论在保守派圈子中引发了辩论例如他为高技能工人辩护的签证计划直接与一些观点相冲突这些观点强调培训和雇用美国工人而不是依赖外国人才这导致了他与影响者甚至一些民选官员在线上的激烈争论他们主张减少对外国劳动力的依赖以保护美国就业马斯克参与政策讨论特别是通过他的顾问角色或公开声明对移民政策的影响引发了对共和党移民政策方向的疑问他的推动更多高技能移民开放政策与特朗普早期的移民立场相左特朗普的立场重点是减少合法和非法移民这反映了共和党内部关于移民的更广泛的意识形态斗争这种分歧导致了一些支持者认为马斯克并不完全与他们的移民观点一致可能分裂了对特朗普移民议程的支持这在辩论中尤为明显马斯克呼吁驱逐非法移民同时倡导为高技能工人增加合法移民路径创造了一种选择性执行的叙述并未满足所有的期望总之虽然马斯克和一些支持者在反对非法移民方面有一致的厌恶但在高技能工人合法移民政策上他们的路径显著分歧这导致了公众和意识形态上的分裂揭示了截至年底保守运动内部移民政治的复杂性
5,基于把转为的一款工具智能提取精确识别文本表格可以保留文档的层级结构样式支持多页支持本地部署转
2,不知道为什么马斯克的和吵起来了双方关键的矛盾在美国应不应该引入更多的印度移民这就是合久必分分久必合推特上容易撕逼吵架想不到马斯克都无法避嫌一月份的走势恐怕是命运多舛一月份涨破难度应该很大了本周看能不能保吧
5,我好奇的是川普是更支持硅谷右派还是
4,卫健委成立心理健康与精神卫生处将设全国统一心理援助热线为扩大心理健康服务供给国家卫健委在医政司新设心理健康与精神卫生处
1,当年法国人土耳其人英国人抢地盘
5,回顾总结一下即将过去的年度关键词移民带着一家人从成都来到了悉尼新移民太难了每天都是新挑战定投美国指数和特斯拉今年赚了一辆特斯拉但是因为悉尼生活成本的指数提升目前定投处于中断阶段希望可以快点回到正轨加密货币翻倍后全部卖出了目前尝试入门希望能建立一套让自己心安的投资系统又做了不少不赚钱的副业正在尝试慢慢开窍拥有自己的生意才是正 回顾总结一下即将过去的年度关键词移民带着一家人从成都来到了悉尼新移民太难了每天都是新挑战定投美国指数和特斯拉今年赚了一辆特斯拉但是因为悉尼生活成本的指数提升目前定投处于中断阶段希望可以快点回到正轨加密货币翻倍后全部卖出了目前尝试入门希望能建立一套让自己心安的投资系统又做了不少不赚钱的副业正在尝试慢慢开窍拥有自己的生意才是正确理解这个世界的最好办法最后希望大家都能够越来越好
1,中国习近平将于年再次访问俄罗斯加强合作
5,初码被立党拉黑全过程
4,中国网民反映位于南京的抗日航空烈士纪念馆内一架二战时期的空军战机机身从原有的中华民国青天白日涂装被改为了苏联红星涂装有网民留言批评无论如何应该尊重历史觉得不合适可以不展出还有网民调侃这是红色改造
4,想不到推特上智障浓度这么高难怪很多人都学会翻墙了结果张口闭口还是教员那一套确实只有计划经济后的大萧条大崩溃人吃人能治治这群傻子
4,四川省的谭警官是当地交警重点打造的红牌口碑甚好一天当他的直播团队查到一辆安装了自动遮牌帘的奔驰时他的人生被改写了少妇只是回车里打了个电话一分钟后直播突然黑屏从此江湖上再也没有谭警官和他的节目时隔多年有人在抖音直播间偶遇谭警官发现他已是吃鸡和带货博主
4,来看看广州警方的骚操作为打击举报广州大学食堂售卖过期食品的王女士将其居住证注销报道良心女士王远菊身为广州大学食堂的安全员近日曝光学校食堂售卖过期食品后被辞退然后学相信于月日反而被学校恶人先告状称其恶意举报要求她删帖王远菊女士没有删帖的情况下居住证居然被广州警方注销了不会吧房东向她吐槽频繁接到电话虽然她是笑着说的压力可想而知近日她还讲述了 来看看广州警方的骚操作为打击举报广州大学食堂售卖过期食品的王女士将其居住证注销报道良心女士王远菊身为广州大学食堂的安全员近日曝光学校食堂售卖过期食品后被辞退然后学相信于月日反而被学校恶人先告状称其恶意举报要求她删帖王远菊女士没有删帖的情况下居住证居然被广州警方注销了不会吧房东向她吐槽频繁接到电话虽然她是笑着说的压力可想而知近日她还讲述了此前年因与一家公司发生纠纷诉讼后被强制送精神病院的经历被精神病这段经历与广州大学食堂事件无关但是听得人心惊肉跳我真担心王远菊女士再次被精神病
4,上世纪年代末年代初中国发生了有史以来最严重的大饥荒全国饿死数千万人其中河南省信阳地区受害最惨烈据时任信阳行署专员张树藩回忆当时信阳地区饿死那么多人并非没有粮食所属大小粮库都是满满的张树藩的秘书余鸿德回忆当年信阳粮库里有粮亿多斤当年产量多亿斤共亿斤守着这么多粮食还饿死人真不应该如果开仓放粮就不会饿死人中共信阳饥荒案惨烈粮仓爆满饿死上百万作者王友群 上世纪年代末年代初中国发生了有史以来最严重的大饥荒全国饿死数千万人其中河南省信阳地区受害最惨烈据时任信阳行署专员张树藩回忆当时信阳地区饿死那么多人并非没有粮食所属大小粮库都是满满的张树藩的秘书余鸿德回忆当年信阳粮库里有粮亿多斤当年产量多亿斤共亿斤守着这么多粮食还饿死人真不应该如果开仓放粮就不会饿死人中共信阳饥荒案惨烈粮仓爆
4,有网民反映位于南京的抗日航空烈士纪念馆内一架二战时期的空军战机机身从原有的中华民国青天白日旗涂装被改为了苏联红星涂装
4,共产党的新武器是杀支那猪的中国人乐什么
5,据世界卫生组织统计中国干部平均寿命达到岁遥遥领先于世界供应干部的器官也充足现杀现换可以活的更久
5,这恶意提问和恶意解读
4,紧急关注二次被关进精神病院
4,钱学森回国真相只要是刻意宣传打造的是假的
5,冬至过后又到了吃柚子的季节老家里人似乎对于柚子有不同的看法不会说切一个破一个而是会说宰一个柚子每次听到都让我莞尔吃起来仿佛都觉得柚肉更有鲜味今天来了个小姨说法更上一层楼宰杀一个柚子来吃看着伊拿着那大柚子去找刀的模样我甚至想起昔年看的秀色小说各种香艳场景
5,打印设计的时候细节没有注意
4,中南海的變數和世界格局大洗牌疑似暗諷習近平經濟學家被禁言請觀看視頻
5,美国新泽西州发现最落的传说中飞碟
4,李老师的流量变现之路艰难的探索不断的尝试年月日乌鲁木齐大火此时的李老师还没有爆发式涨粉在更新完乌鲁木齐大火的相关投稿后放出了链接年月日凌晨白纸开始之前李老师整理乌鲁木齐大火投稿时间线要求境外媒体引用时按稿费标准付费
5,转贴
3,今天早上点钟币的这根大红柱子是谁在砸盘难道是王路飞或者是蒋不多方或徐某人内部开始套现了谢谢
4,说了实话顶尖科技公司常常雇佣外籍或第一代移民工程师而不是本土美国人并非因为美国人智商天生不足这种说法懒惰且错误其中一个关键原因与文化有关艰难的问题需要艰难的答案如果我们真的想解决这个问题就必须直面真相美国文化长久以来至少从年代开始崇尚平庸而非卓越这种文化并非始于大学而是从年幼时就开始塑造一个庆祝舞会皇后而非数学奥赛冠军崇拜运动员而非毕业致辞生的文化无法培养出顶尖的工程师一个推崇成长的烦恼中的或贝尔大街的青春时光中的和而忽视的文化一个喜欢家庭琐事中完美男友而非的文化也不会培养出最优秀的工程师事实我认识多位年代的移民父母他们会限制孩子看这些电视剧正是因为这些节目推崇平庸这些孩子后来都成为了极其成功的毕业生需要更多像爆裂鼓手这样的电影而不是重播老友记需要更多数学辅导而不是过夜聚会更多周末科学比赛而不是周六早晨的卡通更多阅读而不是看电视更多创造而不是放松更多课外活动而不是逛商场大多数普通的美国父母用怀疑的眼光看待那种父母大多数普通的美国孩子用鄙视的态度对待那种孩子如果你成长过程中只追求正常那么你达到的也只是正常现在闭上眼睛回忆一下你在年代甚至现在认识的那些家庭他们是按照哪种模式培养孩子的要诚实面对自己的答案正常无法在全球技术人才的激烈竞争中脱颖而出如果我们假装正常就够了那么我们终将被中国赶超这可以成为我们的斯普特尼克时刻我们曾从沉睡中觉醒也可以再次做到这一点特朗普的当选或许标志着美国新时代的开始但只有我们的文化彻底觉醒才能实现这一目标一个再次以成就高于平庸卓越高于普通学术高于从众勤奋高于懒惰的文化这就是我们的任务而不是沉湎于受害者心态或者仅仅幻想或试图通过立法改变雇佣规则我相信我们可以做到 说了实话顶尖科技公司常常雇佣外籍或第一代移民工程师而不是本土美国人并非因为美国人智商天生不足这种说法懒惰且错误其中一个关键原因与文化有关艰难的问题需要艰难的答案如果我们真的想解决这个问题就必须直面真相美国文化长久以来至少从年代开始崇尚平庸而非卓越这种文化并非始于大学而是从年幼时就开始塑造一个庆祝舞会皇后而非数学奥赛冠军崇拜运
4,月日成都三利广场圣诞树被人丢烟头纵火
1,很多人不会英语也不想关注英文圈那么马斯克自己的给你们解答马斯克今天跟川粉们的分歧
5,才发现需要用英文界面才有的总结功能如果你需要体验的全部功能切记不用切换到中文
4,近日在抵制圣诞节事件后有细心的网友发现现在过的元旦节也是洋节起源于公元纪年公元又称耶稣纪元中国的正统元旦应是农历正月初一就算是民国时期也未把公历月日称为元旦而是称其为新年
4,渐冻症抗争者蔡磊最新公开发声月日下午年中国力量年度人物颁奖盛典在安徽合肥举行蔡磊作为获奖者在现场通过视频短片公开发声他表示荣誉属于渐冻症抗争路上的每一位同行者在与渐冻症的抗争中我深切感受到了中国力量医患齐心合作共同面对全球医学难题患者群体心怀大义就是如同现代版的愚公明知前路是艰难险阻也毫不退缩毅然决然的贡献自己的身体参与到各项科研试验中这种精神 渐冻症抗争者蔡磊最新公开发声月日下午年中国力量年度人物颁奖盛典在安徽合肥举行蔡磊作为获奖者在现场通过视频短片公开发声他表示荣誉属于渐冻症抗争路上的每一位同行者在与渐冻症的抗争中我深切感受到了中国力量医患齐心合作共同面对全球医学难题患者群体心怀大义就是如同现代版的愚公明知前路是艰难险阻也毫不退缩毅然决然的贡献自己的身体参与到各项科研试验中这种精神便是中国力量最生动的诠释蔡磊科研团队负责人现场透露该团队将于近日发布今年取得的研究成果以及年最新规划
1,突发中国在石家庄陆军学院培养的也门胡塞武装的发言人叶海亚发布声明成功报复了以色列他说我们用一枚高超音速导弹袭击了以色列本古里安机场我们用一架无人机成功打击了雅法的一个重要目标我们在索科特拉岛以东的阿拉伯海上袭击了圣乌苏拉号船
1,月日韩联社报道韩国国家情报院证实乌克兰军方俘虏了一名受伤的朝鲜军人这是俄罗斯入侵乌克兰的战争中首名被俘虏的朝鲜士兵
4,王沪宁王毅搞砸台美大事被习近平大骂亲定乱台策美国州川普要买格陵兰丹麦慌了
